PID,ZIPCODE,OWN_OCC,AV_TOTAL,LAND_SF,YR_BUILT,YR_REMOD,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_KITCH,R_KITCH_STYLE,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW
1809872023,2136,Y,319400,5169,1950,0,1228,1,R,CP,G,W,6,3,1,0,S,1,S,F,N,1,F,A,A,N,A
2012051016,2132,Y,353700,6100,1960,0,1701,1,R,RR,G,M,7,3,1,1,S,1,S,W,N,0,A,A,A,N,A
1403583000,2124,N,288700,4250,1880,0,1674,2,R,CL,G,M,7,3,1,1,S,1,S,W,N,0,A,A,A,N,A
1805117000,2131,Y,406600,4000,1910,0,1556,2,R,CL,L,M,7,3,1,0,S,1,S,W,N,0,A,A,A,N,A
1812296200,2136,Y,325700,9391,1991,0,2093,1,R,RR,G,M,7,4,2,0,S,1,S,E,N,0,A,A,A,N,A
1403051040,2124,Y,236700,3001,1995,0,1440,2,R,SD,G,M,6,3,2,0,M,1,M,W,N,0,G,G,G,N,A
2007146000,2132,Y,485300,6075,1940,0,1410,2,R,CL,G,W,6,3,1,1,S,1,S,W,N,1,F,A,A,N,A
2002376000,2132,Y,930800,14475,1930,2003,3828,2,R,CL,G,B,11,4,2,2,S,1,S,W,N,2,A,A,A,N,A
2004291000,2132,Y,507600,6255,1938,2008,1775,2,R,CL,G,M,7,3,1,1,S,1,S,W,C,1,A,A,A,N,A
1903992000,2131,N,393500,4345,1950,0,1414,1.5,R,CP,G,W,6,3,2,0,S,1,S,F,N,1,A,A,A,N,A
2010127010,2132,Y,619500,9227,1984,0,3013,1,R,RR,G,M,6,3,2,1,S,1,S,F,C,0,A,G,G,N,A
1803780000,2136,Y,361500,6947,1900,0,1889,2,R,CL,G,M,7,4,2,1,S,1,M,F,N,1,A,A,A,N,F
1902704000,2130,Y,659900,13743,1950,2007,1480,2,R,CL,G,M,7,3,1,1,M,1,M,W,N,1,A,A,A,N,A
1812269017,2136,Y,295900,7250,1955,1997,1029,1,R,RN,G,M,5,3,2,0,M,1,M,F,C,0,A,G,G,N,A
2002348000,2132,Y,491200,5000,1911,0,1676,2,R,CL,H,M,6,3,1,0,S,1,N,W,N,0,A,A,A,N,A
1808370000,2136,Y,265900,5100,1961,0,1224,1.5,R,CP,G,M,6,3,2,0,S,1,S,W,N,0,A,A,A,N,A
1903717000,2131,Y,445500,6000,1920,0,1714,1.5,R,CP,G,M,9,4,1,0,S,1,S,W,N,0,A,A,A,N,A
1811868010,2136,Y,470400,5756,1920,2013,1824,1.5,R,CL,G,M,7,4,2,1,M,1,M,W,C,0,G,G,G,N,A
1810235000,2136,Y,268100,3500,1950,0,960,1,R,RN,G,M,5,3,2,0,M,1,S,W,N,1,G,A,A,N,A
1804329000,2136,Y,305500,8323,1940,0,1165,1,R,CP,G,M,6,3,1,2,S,1,S,W,N,0,A,A,A,N,A
1902726000,2130,Y,557400,3987,1938,0,1304,2,R,CL,L,M,6,3,1,0,S,1,S,W,N,2,A,A,G,N,A
2002485000,2132,Y,509400,5768,1920,0,2110,2,R,CL,G,W,8,3,1,1,S,1,S,W,N,1,F,A,A,N,A
2007010000,2132,N,752400,6900,1999,0,2536,2,R,CL,H,M,8,4,3,1,M,1,M,F,C,1,G,G,G,N,A
1605343000,2124,Y,613300,4951,1890,0,2881,2,R,CL,G,W,10,4,2,0,S,1,M,W,N,4,A,A,A,N,A
2011641000,2132,Y,392500,5000,1889,0,1290,2,R,CL,H,M,6,3,1,0,S,1,S,W,N,0,A,A,A,N,A
1905017000,2130,Y,376400,2869,1914,0,1017,1.5,R,CV,G,B,5,3,1,0,S,1,S,W,N,0,F,G,G,N,A
2008398000,2132,N,539300,7875,1890,0,2408,2,R,CL,G,A,8,4,2,0,S,1,S,W,N,0,F,A,A,N,A
2006255000,2132,Y,695100,7818,1907,2010,3166,2.5,R,CL,G,M,9,3,2,1,M,1,S,W,N,1,A,A,A,N,A
2006419000,2132,Y,947000,13300,1910,0,3682,2,R,CL,H,M,10,4,2,1,M,1,M,F,C,1,G,G,A,N,A
1811227000,2136,Y,211100,4275,1959,0,864,1,R,RN,G,A,6,3,1,0,S,1,S,F,N,0,A,A,A,N,A
2009704000,2132,Y,282800,3215,1925,0,936,1,R,BW,H,M,5,2,1,0,S,1,S,F,N,0,A,A,A,N,A
1808517052,2136,Y,364600,4870,1965,2005,1704,1.5,R,CP,G,W,8,3,3,0,S,1,S,W,N,0,A,A,A,N,A
2001879000,2132,Y,399400,4615,1928,0,925,1,R,BW,H,M,5,2,1,0,S,1,S,W,N,1,A,A,A,N,A
1904246000,2131,N,387500,5000,1910,0,1901,2,R,CL,G,W,8,5,2,0,N,1,N,W,N,0,F,F,A,N,A
2008365000,2132,Y,630300,10000,1890,2004,2762,2,R,CL,G,M,12,6,2,1,S,1,M,W,N,0,A,A,A,N,A
1904400000,2131,N,392700,3750,1930,0,1503,1.5,R,CP,G,M,4,2,1,0,S,1,S,F,N,0,A,A,A,N,A
1700885000,2124,Y,451700,5575,1885,0,2640,2,R,CL,H,W,8,3,1,1,S,1,S,W,N,0,A,A,A,N,A
1807698000,2136,Y,347500,5516,1927,0,1436,1,R,BW,G,M,7,3,1,1,S,1,S,W,N,1,G,A,A,N,A
2002892000,2132,Y,529700,6000,1985,0,1862,2,R,CL,G,M,8,4,2,0,S,1,S,W,C,1,A,A,A,N,A
1810813000,2136,Y,373500,5000,1920,0,1058,1,R,BW,G,W,6,3,1,0,S,1,M,W,N,0,G,G,G,N,A
2005121020,2131,Y,539700,7479,1991,0,1836,2,R,CL,G,F,6,3,2,1,M,1,S,W,N,1,A,A,A,N,G
2001812000,2132,Y,690300,6222,1910,2014,2024,2,R,CL,G,W,6,3,2,1,M,1,M,W,C,0,G,G,G,N,A
2002233002,2132,N,537600,12024,1950,0,1396,1,R,RN,G,W,6,3,1,1,S,1,S,W,N,1,A,A,A,N,F
1902349002,2130,Y,994600,9202,1958,2013,2572,1,R,SL,G,C,12,4,3,0,M,1,M,F,C,3,G,G,G,N,A
1805279000,2131,N,521800,3684,1905,2003,1368,2,R,CL,G,W,8,3,1,1,M,1,M,W,N,2,A,G,G,N,A
1812267014,2136,Y,282000,7480,1950,0,1040,1,R,RR,G,F,6,3,1,0,N,1,N,F,N,0,A,A,A,N,A
2008578000,2132,Y,520300,6728,1910,0,2032,2,R,CL,H,M,8,3,1,1,S,1,S,W,N,1,A,A,A,N,A
1811348000,2136,Y,348800,6190,1920,1990,1519,1,R,CP,G,M,8,3,1,1,S,1,S,W,N,1,A,A,A,N,G
2003515000,2132,Y,497800,4181,1935,2008,1387,2,R,CL,H,M,6,3,2,0,M,1,M,F,C,0,G,G,G,N,A
2003946000,2132,Y,644100,8477,1920,2015,2114,1.5,R,CL,G,B,8,4,2,0,M,1,M,W,N,1,A,A,G,N,A
2008775000,2132,Y,390200,5009,1940,2013,1534,2,R,CL,G,M,8,4,1,0,S,1,M,W,N,0,A,A,A,N,A
1604889000,2124,Y,383800,3115,1890,0,2198,2.5,R,CL,G,M,8,3,2,0,M,1,S,W,N,0,A,A,A,N,A
1604406000,2124,Y,460800,3590,1922,0,1728,2,R,CL,L,M,6,4,1,0,N,1,S,W,N,1,A,A,A,N,A
1902340000,2130,Y,413800,7513,1950,1980,864,1,R,RN,G,M,4,2,1,0,N,1,N,W,N,0,A,A,F,N,A
1810587000,2136,Y,356300,8750,1964,0,1238,1,R,CP,G,M,7,4,1,0,M,1,M,F,N,1,A,A,G,N,A
2008597000,2132,Y,472900,6228,1925,1984,1836,1.5,R,BW,G,W,6,3,1,0,S,1,S,W,N,1,A,A,A,N,A
1810012002,2136,Y,342000,5795,1966,0,1275,2,R,CL,G,M,6,3,1,1,S,1,S,W,N,1,A,A,A,N,A
1102281000,2130,Y,450200,5872,1900,0,1216,1.5,R,CV,G,S,6,2,2,0,S,1,S,W,N,0,A,A,A,N,F
2009846000,2132,Y,392900,6020,1957,0,1495,1.5,R,CP,G,M,7,3,2,0,S,1,S,W,N,1,A,A,A,N,A
2001420000,2131,N,510500,5000,1910,2006,2296,2,R,CL,H,S,9,5,1,1,M,1,M,W,N,1,A,A,A,N,A
2004757000,2131,Y,459100,6600,1910,0,1500,2,R,CL,H,W,7,3,1,1,S,1,S,W,N,1,A,A,A,N,A
2008368000,2132,Y,882600,10000,1880,2015,3629,2,R,CL,G,M,9,5,3,1,M,1,L,F,C,3,G,G,G,N,A
2004543000,2132,Y,301100,3440,1910,2000,710,1,R,CP,G,M,5,2,1,0,M,1,S,W,N,0,A,A,A,N,A
1807253000,2131,Y,337600,4542,1935,0,1355,2,R,CL,G,W,7,3,1,0,N,1,S,W,N,0,A,A,A,N,A
2007009000,2132,Y,468100,7616,1950,0,1500,1,R,RN,G,M,6,3,1,1,S,1,S,W,N,1,A,A,A,N,A
